No.;Naam;Downtime;Datum
1;AA UT4;20;12-02-2016
2;AA UT4;30;03-03-2016
3;AA UT4;10;12-03-2016
4;AA UT4;20;28-03-2016
5;AA UT4;15;04-04-2016
6;AA UT4;40;01-05-2016
7;AA UT4;6;06-05-2016
8;AA UT4;17;12-06-2016
9;AA UT4;12;01-08-2016
10;AA UT4;33;06-09-2016
11;AA UT4;11;01-10-2016
12;AA UT4;15;03-10-2016
13;AA UT4;40;11-11-2016
14;AA UT4;6;01-12-2016
15;AA UT4;17;16-12-2016
16;AA UT4;30;17-12-2016
17;AA UT4;10;18-12-2016
18;AA UT4;20;20-12-2016
19;AA UT4;15;01-02-2017
20;AA UT4;40;03-02-2017
21;AA UT4;2;14-02-2017
22;AA UT4;24;16-02-2017
23;AA UT4;7;03-03-2017
24;AA UT4;16;30-03-2017
25;AA UT4;16;04-05-2017
26;AA UT4;8;01-06-2017
27;AA UT4;40;03-06-2017
28;AA UT4;20;01-08-2017
29;PF UT4;20;21-01-2016
30;PF UT4;40;05-03-2016
31;PF UT4;7;08-04-2016
32;PF UT4;10;23-07-2016
33;PF UT4;15;01-08-2016
34;PF UT4;19;31-08-2016
35;PF UT4;16;04-09-2016
36;PF UT4;40;14-09-2016
37;PF UT4;30;15-09-2017
38;PF UT4;20;07-09-2016
39;PF UT4;80;05-12-2016
40;PF UT4;90;13-01-2017
41;PF UT4;40;25-01-2017
42;PF UT4;40;07-02-2017
43;PF UT4;70;06-02-2017
44;PF UT4;24;16-02-2017
45;PF UT4;66;19-03-2017
46;PF UT4;52;06-04-2017
47;PF UT4;39;06-04-2017
48;PF UT4;40;01-06-2017
49;PF UT4;70;23-08-2017
50;PF UT4;60;27-08-2017
51;OAX UT4;10;17-01-2016
52;OAX UT4;12;21-01-2016
53;OAX UT4;15;23-01-2016
54;OAX UT4;20;06-04-2016
55;OAX UT4;4;05-08-2016
56;OAX UT4;3;07-09-2016
57;OAX UT4;7;23-10-2016
58;OAX UT4;8;03-02-2017
59;OAX UT4;1;14-03-2017
60;OAX UT4;10;18-03-2017
61;OAX UT4;15;06-04-2017
62;OAX UT4;12,5;05-07-2017
63;IAX UT4;10;02-04-2016
64;IAX UT4;20;03-09-2016
65;IAX UT4;10;05-09-2016
66;IAX UT4;10;23-11-2016
67;IAX UT4;10;08-01-2017
68;IAX UT4;10;06-02-2017
69;IAX UT4;20;07-02-2017
70;IAX UT4;10;31-03-2017
71;IAX UT4;10;01-04-2017
72;IAX UT4;20;02-04-2017
73;IAX UT4;10;03-04-2017
74;IAX UT4;10;06-06-2017
75;IAX UT4;10;23-08-2017
76;Low Level UT4;20;08-11-2016
77;Low Level UT4;10;01-12-2017
78;Low Level UT4;15;02-03-2017
79;Low Level UT4;30;27-08-2017
80;Others UT4;20;08-05-2016
81;Others UT4;30;07-07-2016
82;Others UT4;40;03-12-2016
83;Others UT4;50;09-01-2017
84;Others UT4;60;09-02-2017
85;Others UT4;30;08-02-2017
86;Others UT4;25;07-06-2017
87;AR UT4;20;01-06-2016
88;AR UT4;10;01-04-2017
89;IR UT4;11;11-09-2016
90;IR UT4;9;06-07-2017
91;Pumps UT4;10;04-09-2016
92;Pumps UT4;15;04-04-2017
93;Pumps UT4;20;23-06-2017
94;Pumps UT4;25;18-08-2016
95;Electrical UT4;65;01-01-2016
96;Electrical UT4;30;27-04-2016
97;Electrical UT4;20;03-08-2016
98;Electrical UT4;40;23-12-2016
99;Electrical UT4;30;06-05-2017
